Pripravek,Placebo
7.274407330167814,7.751289620081012
7.359396160677193,7.971897363759266
8.041599874742122,7.959119968396325
8.524081936433916,7.547474490550763
7.783785459189107,7.471705516637407
7.361792278658855,7.997126869473795
6.793132387327947,7.169877801696059
8.228407162862302,7.346897903345183
7.766520200925337,8.649492385676204
7.183427482354395,6.980151409389801
8.512841531546368,8.467493433285311
8.643026862616477,6.956257485613781
8.939413805692128,8.479993210840576
7.288698425751158,7.124973854457414
8.467048294844092,7.376526730773485
6.980569439093015,8.466250707875695
7.6189971572122035,7.594942837670071
8.104432778858207,7.94368527774496
8.056261263655665,7.260707875529098
8.365440325137659,8.068143739925713
8.207933855285818,8.229680115854306
8.383779737120355,7.927188323888019
8.293517660103642,6.956311807854269
8.031723144028549,7.677618166370177
7.676994930332718,7.571404991083794
7.673424816648231,7.642821145577395
7.851222489116886,7.8134574640688585
9.162637541494615,8.422129978505877
7.730660458817133,8.299285752580092
7.415871776484694,8.12687798411865
7.293769138063305,8.183564671321873
7.934344909855807,8.50088551039755
7.948463667879343,8.330899785911075
7.779302320659198,8.049562950035504
8.95385137263279,8.004205708182235
7.100476055897021,7.122516479014216
7.713138993273516,7.744572814845146
7.855505033715604,8.242515871261636
7.953728065672911,7.984559273541109
8.06974528956164,6.772457427099837
7.762660969548832,7.765796665616639
7.920535101329553,7.75064039671577
8.166037618959718,8.119300997203013
8.468143913291115,8.20352709658278
7.378216493179767,7.6458356137682655
8.239620630996114,7.89223521140137
7.630135377633543,7.176781990168957
7.96593064301738,7.150919315417512
7.823427104139274,7.449559258852903
7.523072661078447,6.566386243622622
6.512421316048824,8.129608895664262
7.9651587325502335,8.086156351911468
8.000894428569437,8.335577014729601
8.154511192670233,7.737102011569242
7.299315914271085,8.241522494702526
8.985924987897253,7.393056577550963
7.72692195445723,7.783458727170828
8.595930761381242,8.404174739445795
7.5562967889118955,8.675896461848675
7.475005115188805,8.282127735435349
8.205813752745701,7.22544954673454
8.585801397457558,8.924655730481593
8.003225476928485,8.103611258878157
8.962191742374891,7.759923470997202
7.3728408580114015,7.968222122027029
8.257005719941464,8.29298319270071
7.555121304249851,8.55020097281497
7.598124488111948,8.286791704140185
8.104781057502697,7.958052367679336
7.409514534268774,7.991205142578716
8.832787838561847,7.141860472424737
8.117311661706397,7.778164465661423
8.20100933305551,8.02976905395239
8.249657824530136,7.295606688348057
8.324006151596198,7.945116180610583
7.850193294998669,7.758828929391419
8.642414390539225,7.5684034220165035
7.532073037816066,8.38444618226042
7.867905776345231,7.352706452412706
7.11042878538432,7.213965555484822
8.706515353861278,6.955334350465683
8.224297528537145,7.897226769342003
7.036716311262773,7.576075187318237
7.996008296408408,8.607754347103565
7.051305056797532,7.575060638493926
7.7726291536076655,7.780716217459434
7.908257332432059,8.334782209720968
7.405221829004436,7.774506240775481
8.512017697259433,7.832474610044259
7.466430736383152,7.971298676313025
7.510822136776455,6.500519811672819
7.619387604803895,7.843013118705916
7.77270820810149,8.608144896673195
8.597496125654553,7.737364375607365
7.967578704796401,8.52363636210815
7.710828768945979,7.398485120562488
7.615872256021768,7.435104345699354
7.842985748557113,8.098211996918952
7.683833666463812,8.08698740871308
8.372735681410152,7.514536146984643
